affiliation,ROR_Affiliation,ROR_Name
Center for Bioinformatics Tübingen,https://ror.org/03a1kwz48,University of Tübingen
CIRA/ Colorado State University,https://ror.org/03k1gpj17,Colorado State University
"Japan Aerospace Exploration Agency (JAXA), Tsukuba (JP)",https://ror.org/059yhyy33,Japan Aerospace Exploration Agency
"University of Bern, ETH Zurich",,
RIKEN Center for Biosystems Dynamics Research,https://ror.org/023rffy11,RIKEN Center for Biosystems Dynamics Research
"NASA Armstrong Flight Research Center, Edwards, CA (US)",https://ror.org/03em45j53,Armstrong Flight Research Center
"Royal Belgian Institute for Space Aeronomy, Brussels (BE),",https://ror.org/03vfw8w96,Royal Belgian Institute for Space Aeronomy
"Institute of Atmospheric Physics, Chinese Academy of Sciences, Beijing (CN)",https://ror.org/0424h4e32,Institute of Atmospheric Physics
Kansas State University,https://ror.org/05p1j8758,Kansas State University
Swarthmore College,https://ror.org/012dg8a96,Swarthmore College
"Centre for Atmospheric Chemistry, University of Wollongong, Wollongong, NSW (AU)",https://ror.org/00jtmb277,University of Wollongong
"Harvard University, Cambridge, MA (US)",https://ror.org/03vek6s52,Harvard University
"Xianghe Observatory of Whole Atmosphere, Institute of Atmospheric Physics, Chinese Academy of Sciences, Xianghe, China",https://ror.org/0424h4e32,Institute of Atmospheric Physics
"Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA, USA",,
Texas A&M University,https://ror.org/01f5ytq51,Texas A&M University
"Department of Life Science, Faculty of Science and Engineering, Setsunan University, Neyagawa, Osaka 572-8508, Japan",https://ror.org/0418a3v02,Setsunan University
Rensselaer Polytechnic Institute,https://ror.org/01rtyzb94,Rensselaer Polytechnic Institute
"Department of Chemistry, University of California, Irvine, CA, USA",https://ror.org/04gyf1771,"University of California, Irvine"
"Institute of Environmental Physics, University of Bremen, Bremen (DE), Centre for Atmospheric Chemistry, School of Chemistry, University of Wollongong, Wollongong, NSW (AU)",,
Oregon State University,https://ror.org/00ysfqy60,Oregon State University
"Wisconsin Educational Communications Board, WLEF, Park Falls, WI (US)",https://ror.org/04drdpz74,Wisconsin Educational Communications Board
CalTech,https://ror.org/05dxps055,California Institute of Technology
"Division of Geological and Planetary Sciences, California Institute of Technology, Pasadena, California, USA",https://ror.org/05dxps055,California Institute of Technology
"AeroMeteo Service, Białystok (PL)",,
"Institute of Environmental Physics, University of Bremen, Bremen (DE);",https://ror.org/04ers2y35,University of Bremen
University of Wyoming,https://ror.org/01485tq96,University of Wyoming
Princess Margaret Cancer Centre,https://ror.org/01tajhr18,Princess Margaret Hospital
"Department of Physics & Atmospheric Science, Dalhousie University, Halifax, NS, CA",https://ror.org/01e6qks80,Dalhousie University
Space Science Institute,https://ror.org/046a9q865,Space Science Institute
"Embryology: Concepts & Techniques in Modern Developmental Biology, Marine Biological Laboratory, Woods Hole, MA, 02543; University of Alabama at Birmingham, Birmingham, AL 35294",,
"Department of Experimental and Health Sciences, Universitat Pompeu Fabra",https://ror.org/04n0g0b29,Pompeu Fabra University
"National Center for Atmospheric Research, Boulder, CO (US)",https://ror.org/05cvfcr44,National Center for Atmospheric Research
"UC Davis, Caltech",,
"Earth-Life Science Institute, Tokyo Institute of Technology, Ookayama, Meguro-ku, Tokyo, Japan",,
Brigham Young University,https://ror.org/047rhhm47,Brigham Young University
Cornell,https://ror.org/05bnh6r87,Cornell University
"University of Science and Technology, China",https://ror.org/02czkny70,Hefei University of Technology
University of Bern,https://ror.org/02k7v4d05,University of Bern
University of Texas,https://ror.org/00hj54h04,The University of Texas at Austin
"Laboratoire d'Etudes  du Rayonnement et de la Matière en Astrophysique et Atmosphères (LERMA), Sorbonne Université, CNRS, Paris (FR)",,
Calech,https://ror.org/05dxps055,California Institute of Technology
Bowdoin College,https://ror.org/03gh96r95,Bowdoin College
"Division of Biology and Biological Engineering, California Institute of Technology, 1200 East California Boulevard, Pasadena, CA 91125, USA.",https://ror.org/05dxps055,California Institute of Technology
University of Wisconsin-Milwaukee,https://ror.org/031q21x57,University of Wisconsin-Milwaukee
"Centre for Atmospheric Chemistry, School of Chemistry, University of Wollongong, Wollongong, NSW (AU)",https://ror.org/00jtmb277,University of Wollongong
"Unité Mixte de Service (UMS 3365), Observatoire des Sciences de l’Univers à La Réunion (OSU-R), Université de la Réunion, Saint-Denis de la Réunion (FR)",,
"NASA Ames Research Center, Moffett Field, CA (US)",https://ror.org/02acart68,Ames Research Center
University of Toronto,https://ror.org/03dbr7087,University of Toronto
JPL-Caltech,,
"Max Planck Institute for Biogeochemistry, Jena (DE)",https://ror.org/051yxp643,Max Planck Institute for Biogeochemistry
"Pacific Northwest National Laboratory, Richland, WA (US)",https://ror.org/05h992307,Pacific Northwest National Laboratory
"Department of Applied Physics, California Institute of Technology",https://ror.org/05dxps055,California Institute of Technology
"INAF-IAPS, Via del Fosso del Cavaliere, Rome, Italy",https://ror.org/02gh4kt33,National Institute for Astrophysics
UNC,https://ror.org/0130frc33,University of North Carolina at Chapel Hill
"1 Department of Neurology and Neurosurgery, McGill University, Montreal, Quebec, Canada 2 Metabolic Disorders and Complications Program, and Brain Repair and Integrative Neuroscience Program, Research Institute of the McGill University Health Centre, Montreal, Quebec, Canada 3 Division of Experimental Medicine, Department of Medicine, McGill University, Montreal, Quebec, Canada 4 Department of Genetics, Harvard Medical School, Boston, MA, USA",,
"Department of Statistics, Pennsylvania State University, University Park, PA",https://ror.org/04p491231,Pennsylvania State University
UCSC,https://ror.org/03s65by71,"University of California, Santa Cruz"
Dartmouth College,https://ror.org/049s0rh22,Dartmouth College
King Saud University,https://ror.org/02f81g417,King Saud University
Overleaf,,
"Bayerisches Geoinstitut, Universität Bayreuth, Bayreuth, Germany",https://ror.org/0234wmv40,University of Bayreuth
"Wisconsin Educational Communications Board, Park Falls, WI (US)",https://ror.org/04drdpz74,Wisconsin Educational Communications Board
University of Utah,https://ror.org/03r0ha626,University of Utah
"Division of Biology and Biological Engineering, Caltech",https://ror.org/05dxps055,California Institute of Technology
University of California Riverside,https://ror.org/03nawhv43,"University of California, Riverside"
" Institute of Environmental Physics, University of Bremen, Bremen (DE), Centre for Atmospheric Chemistry, School of Chemistry, University of Wollongong, Wollongong, NSW (AU) ",,
"LPG, UMR 6112, CNRS, Université de Nantes, 2 rue de la Houssinière, Nantes, France",https://ror.org/03gnr7b55,University of Nantes
